RPM,Temperature,Pump PWM,Pump Enable,Requested RPM
019750,0336,160,26,60
020495,0348,160,26,60
021297,0363,160,26,60
020818,0373,160,26,60
021605,0386,160,26,60
023040,0399,160,28,60
023428,0408,160,28,60
023650,0420,160,28,60
023797,0430,160,29,60
024125,0437,160,29,60
024330,0444,160,29,60
024572,0449,160,30,60
024900,0455,160,30,60
025324,0461,160,30,60
025650,0466,160,30,60
025741,0472,160,30,60
026437,0476,160,31,60
026437,0479,160,31,60
027086,0479,160,31,60
027334,0479,160,32,60
027642,0479,160,32,60
027642,0479,160,32,60
028462,0491,160,32,60
028962,0494,160,32,60
028962,0497,160,32,60
029702,0499,160,33,60
030081,0502,160,33,60
030081,0505,160,34,60
031154,0507,160,34,60
031482,0511,160,34,60
032050,0513,160,35,60
032595,0513,160,35,60
033029,0519,160,35,60
033029,0521,160,36,60
034254,0524,160,36,60
034782,0526,160,36,60
035594,0529,160,37,60
036637,0531,160,37,60
036637,0534,160,38,60
037811,0536,160,38,60
038707,0539,160,38,60
039480,0541,160,40,60
040492,0543,160,40,60
041525,0546,160,40,60
042310,0548,160,42,60
043204,0550,160,42,60
043204,0551,160,42,60
043204,0552,160,44,60
046625,0553,80,255,60
048857,0554,80,255,60
050293,0554,85,255,60
051502,0553,86,255,60
052818,0552,86,255,60
054799,0551,86,255,60
056713,0550,86,255,60
058880,0549,86,255,60
061043,0548,86,255,60
063295,0547,85,255,60
064943,0544,85,255,60
064943,0542,85,255,60
067266,0538,85,255,60
067870,0533,85,255,60
068258,0528,84,255,60
068102,0522,84,255,60
068183,0516,84,255,60
068102,0510,84,255,60
067870,0504,84,255,60
067870,0499,83,255,60
067190,0493,83,255,60
066963,0493,83,255,60
066963,0493,83,255,60
065789,0479,83,255,60
065502,0474,83,255,60
065502,0470,83,255,60
064797,0467,83,255,60
064519,0462,83,255,60
064307,0459,83,255,60
064100,0457,82,255,60
064100,0454,82,255,60
064100,0452,82,255,60
063699,0450,82,255,60
063224,0448,82,255,60
063027,0447,82,255,60
063027,0445,82,255,60
063027,0444,82,255,60
062378,0443,82,255,60
062116,0442,82,255,60
061985,0441,82,255,60
061985,0441,82,255,60
061858,0440,82,255,60
061858,0440,82,255,60
061727,0440,82,255,60
061793,0439,82,255,60
061601,0439,82,255,60
061601,0439,82,255,60
061601,0439,82,255,60
061475,0439,82,255,60
061475,0439,82,255,60
061475,0439,82,255,60
061475,0439,82,255,60
061475,0439,82,255,60
061475,0439,82,255,60
061475,0439,82,255,60
061475,0439,82,255,60
061475,0439,82,255,60
